id_poligono;id_distrito;nombre_distrito;provincia;id_seccion;nombre_seccion;localidad;score_promedio;q_geo;indice_geo;q_estimada;q_personaspriorizadas;indice_hogares;hogares_estimados;observado;shape_texto
14;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";28.240969162995572;270;0.8211;328.8272;11;2.01004;163.59252888105087;1;"POLYGON((-37.958035 -57.640135,-37.9557 -57.643525,-37.951047 -57.649725,-37.946597 -57.644318,-37.951707 -57.637689,-37.952282 -57.637389,-37.953788 -57.636595,-37.958035 -57.640135))"
23;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";35.67857142857143;7;0.8211;8.5251;0;2.01004;4.241287785751587;1;"POLYGON((-38.205537 -57.715044,-38.198489 -57.70586,-38.199804 -57.704358,-38.20004 -57.703156,-38.200985 -57.701097,-38.202671 -57.699852,-38.204863 -57.699466,-38.207257 -57.698951,-38.209314 -57.697792,-38.210191 -57.696376,-38.213732 -57.701139,-38.215485 -57.7035,-38.215552 -57.706418,-38.216227 -57.709122,-38.214743 -57.708821,-38.212484 -57.707362,-38.210832 -57.707105,-38.209449 -57.711225,-38.205537 -57.715044))"
28;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";33.12;1;0.8211;1.2179;0;2.01004;0.6058982547520102;1;"POLYGON((-38.187932 -57.697577,-38.194914 -57.688565,-38.199906 -57.682471,-38.202705 -57.681227,-38.204694 -57.685089,-38.206145 -57.691097,-38.206515 -57.69187,-38.204863 -57.692685,-38.199332 -57.69393,-38.194341 -57.694402,-38.187932 -57.697577))"
32;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";NULL;1;0.8211;1.2179;0;2.01004;0.6058982547520102;1;"POLYGON((-38.173022 -57.658825,-38.159525 -57.641358,-38.160706 -57.63917,-38.163439 -57.638226,-38.169479 -57.637925,-38.18294 -57.65449,-38.180545 -57.655177,-38.177306 -57.658181,-38.175484 -57.658095,-38.173022 -57.658825))"
33;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";35.914375;16;0.8211;19.4861;2;2.01004;9.694372081504698;1;"POLYGON((-38.148017 -57.634792,-38.150312 -57.636209,-38.152067 -57.636638,-38.153822 -57.637067,-38.156893 -57.638226,-38.159053 -57.639341,-38.160301 -57.639341,-38.159424 -57.641315,-38.154565 -57.647753,-38.14687 -57.642817,-38.149232 -57.636938,-38.148017 -57.634792))"
34;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";54.057380248373654;1776;0.8211;2162.9521;1575;2.01004;1076.0753010843341;0;"POLYGON((-37.943819 -57.536001,-37.944293 -57.534757,-37.952618 -57.536945,-37.958979 -57.540078,-37.956035 -57.545958,-37.943819 -57.536001))"
35;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";53.418842150910585;2372;0.8211;2888.8077;2162;2.01004;1437.190661132946;0;"POLYGON((-37.943514 -57.535701,-37.955968 -57.546258,-37.950046 -57.558017,-37.948286 -57.556643,-37.946899 -57.549391,-37.947677 -57.547116,-37.948049 -57.543039,-37.946526 -57.540293,-37.944766 -57.53952,-37.942634 -57.538018,-37.943514 -57.535701))"
36;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";45.00173913043484;904;0.8211;1100.9621;731;2.01004;547.7320226241692;0;"POLYGON((-37.943785 -57.569904,-37.940908 -57.567759,-37.941822 -57.565355,-37.942161 -57.561922,-37.943176 -57.558188,-37.943954 -57.556257,-37.94497 -57.554884,-37.945173 -57.552996,-37.945883 -57.552438,-37.946154 -57.55012,-37.946696 -57.550077,-37.948151 -57.556772,-37.949741 -57.558274,-37.943785 -57.569904))"
37;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";55.55512195121961;3949;0.8211;4809.4020;3705;2.01004;2392.6922094499896;0;"POLYGON((-37.956205 -57.545958,-37.959081 -57.54025,-37.964224 -57.540379,-37.967945 -57.541838,-37.970686 -57.542996,-37.965577 -57.553596,-37.956205 -57.545958))"
38;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";44.64871799999994;5178;0.8211;6306.1746;4192;2.01004;3137.3411649864706;0;"POLYGON((-37.943887 -57.569947,-37.949978 -57.55806,-37.959115 -57.566385,-37.95343 -57.577758,-37.943887 -57.569947))"
